0.00.056.555 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.057.069 W srv  llama_server: -----------------
0.00.057.071 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.057.071 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.057.071 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.057.071 W srv  llama_server: -----------------
0.00.058.285 I srv    load_model: loading model '/home/mohab/models/Qwen3.6-27B-UD-Q4_K_XL.gguf'
0.03.015.040 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 12288, kv_unified = 'false'
0.03.017.799 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.017.825 I srv  llama_server: model loaded
0.03.017.828 I srv  llama_server: listening on http://127.0.0.1:8080
0.03.017.828 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.017.828 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.43.273.085 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.43.273.146 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.48.195.132 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.23, t =   4.92 s / 416.09 tokens per second
1.52.115.494 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.47, t =   8.84 s / 463.23 tokens per second
1.56.071.870 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.70, t =  12.80 s / 480.05 tokens per second
2.00.068.161 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.94, t =  16.80 s / 487.76 tokens per second
2.00.943.253 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8227, progress = 0.94, t =  17.67 s / 465.59 tokens per second
2.01.774.068 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8739, progress = 1.00, t =  18.50 s / 472.36 tokens per second
2.17.296.069 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   6.65 t/s, tg_3s =   6.65 t/s
2.20.329.332 I slot print_timing: id  0 | task 0 | n_decoded =    121, tg =   6.70 t/s, tg_3s =   6.92 t/s
2.23.378.174 I slot print_timing: id  0 | task 0 | n_decoded =    142, tg =   6.73 t/s, tg_3s =   6.89 t/s
2.26.497.932 I slot print_timing: id  0 | task 0 | n_decoded =    164, tg =   6.77 t/s, tg_3s =   7.05 t/s
2.29.551.426 I slot print_timing: id  0 | task 0 | n_decoded =    185, tg =   6.78 t/s, tg_3s =   6.88 t/s
2.32.678.712 I slot print_timing: id  0 | task 0 | n_decoded =    207, tg =   6.81 t/s, tg_3s =   7.03 t/s
2.35.826.234 I slot print_timing: id  0 | task 0 | n_decoded =    229, tg =   6.82 t/s, tg_3s =   6.99 t/s
2.38.884.252 I slot print_timing: id  0 | task 0 | n_decoded =    250, tg =   6.83 t/s, tg_3s =   6.87 t/s
2.41.921.582 I slot print_timing: id  0 | task 0 | n_decoded =    269, tg =   6.78 t/s, tg_3s =   6.26 t/s
2.45.024.883 I slot print_timing: id  0 | task 0 | n_decoded =    288, tg =   6.74 t/s, tg_3s =   6.12 t/s
2.48.178.844 I slot print_timing: id  0 | task 0 | n_decoded =    307, tg =   6.69 t/s, tg_3s =   6.02 t/s
2.51.277.795 I slot print_timing: id  0 | task 0 | n_decoded =    327, tg =   6.67 t/s, tg_3s =   6.45 t/s
2.54.368.726 I slot print_timing: id  0 | task 0 | n_decoded =    347, tg =   6.66 t/s, tg_3s =   6.47 t/s
2.57.422.768 I slot print_timing: id  0 | task 0 | n_decoded =    367, tg =   6.65 t/s, tg_3s =   6.55 t/s
3.00.571.381 I slot print_timing: id  0 | task 0 | n_decoded =    387, tg =   6.64 t/s, tg_3s =   6.35 t/s
