order,run,submission_id,timestamp,paper_f1,evidence_f1,mc,row_f1,cell_acc,cell_acc_micro,overall_shown,precision,note
1,v2,9e3971d055d1,2026-08-13T22:10:31-04:00,0.632394,0.358685,0.68,0.32215,0.130952,0.126437,0.456260,full,
2,v5,5cb563117f21,2026-08-16T09:44:08-04:00,0.647418,0.332394,0.72,0.269048,0.087302,0.091954,0.446198,full,
3,v5,b3c1c4f294be,2026-08-16T11:25:14-04:00,0.647418,0.332394,0.72,0.269048,0.087302,0.091954,0.446198,full,"re-upload, identical score"
4,v5,2912d47450d6,2026-08-16T11:25:18-04:00,0.647418,0.332394,0.72,0.269048,0.087302,0.091954,0.446198,full,"re-upload, identical score"
5,v5,7ccb767ac975,2026-08-16T11:34:51-04:00,0.647418,0.332394,0.72,0.269048,0.087302,0.091954,0.446198,full,"re-upload, identical score"
6,v6,d1739664501d,2026-08-16T12:52:31-04:00,0.647418,0.388732,0.82,0.284921,0.095238,0.091954,0.478734,full,
7,v6,b01e55c84c70,2026-08-17T03:10:44-04:00,0.647418,0.388732,0.82,0.284921,0.095238,0.091954,0.478734,full,"re-upload, identical score"
8,v9,4358aa4b6904,2026-08-17T03:11:40-04:00,0.799061,0.473709,0.78,0.27381,0.095238,0.103448,0.551929,full,
9,v9,6cbcb33008bb,2026-08-17T05:42:41-04:00,0.799061,0.473709,0.78,0.27381,0.095238,0.103448,0.551929,full,"re-upload, identical score"
10,v10,678073f3c637,2026-08-17T05:43:12-04:00,0.799061,0.473709,0.78,0.27381,0.095238,0.103448,0.551929,full,
11,v11,5cb2c0147f56,2026-08-17T06:59:42-04:00,0.796714,0.466667,0.82,0.27381,0.059524,0.068966,0.549275,full,
12,,12a3f0dbf380,2026-08-18T04:17:17-04:00,0.777934,0.469484,0.76,0.27381,0.095238,0.103448,0.541256,full,no local prediction file retained
13,v14,05b8646ff297,2026-08-19T06:32:10-04:00,0.655869,0.473709,0.78,0.27381,0.095238,0.103448,0.504198,full,
14,v16,23200343172a,2026-08-19T09:53:13-04:00,0.789671,0.469014,0.8,0.22619,0.047619,0.045977,0.538874,full,
15,v19,d9fe1f20a09c,2026-08-19T12:44:20-04:00,0.799061,0.473709,0.78,0.340476,0.103175,0.114943,0.560218,full,
16,v26,1296676178da,2026-08-19T15:06:46-04:00,0.855399,0.534742,0.84,0.340476,0.198413,0.206897,0.616590,full,
17,v32,d8fd117a5d70,2026-08-19T18:48:19-04:00,0.878873,0.560563,0.86,0.340476,0.210317,0.218391,0.636567,full,
18,v41,8b12e85c4119,2026-08-19T23:56:49-04:00,0.970423,0.661033,0.94,0.340476,0.210317,0.218391,0.709462,full,
19,v43,92ed79ebf783,2026-08-20T00:16:16-04:00,0.970423,0.71214,0.96,0.340476,0.210317,0.218391,0.728720,full,
20,v44,0e767e6f452d,2026-08-20T00:28:24-04:00,0.970423,0.71214,0.98,0.351587,0.210317,0.218391,0.732177,full,
21,v45,03b2fd0194c0,2026-08-20T00:33:34-04:00,0.970423,0.71214,0.98,0.428307,0.22619,0.241379,0.742465,full,
22,v46,d7ce1b592504,2026-08-20T00:45:44-04:00,0.970423,0.71214,0.98,0.46746,0.22619,0.241379,0.746815,full,
23,v48,f2a6d08884a8,2026-08-20T01:01:11-04:00,0.970423,0.719182,0.98,0.453401,0.25,0.264368,0.750246,full,
24,v49,e8f31d674fc5,2026-08-20T01:30:23-04:00,0.970423,0.719182,0.98,0.46746,0.25,0.264368,0.751808,full,
25,v51,eb0dd327b851,2026-08-20T01:47:41-04:00,0.970423,0.726224,0.98,0.487302,0.297619,0.356322,0.761651,full,
26,v52,e44e98854128,2026-08-20T01:54:32-04:00,0.970423,0.726224,0.98,0.503175,0.297619,0.356322,0.763415,full,
27,v53,d48b79d956d9,2026-08-20T02:03:01-04:00,0.970423,0.726224,0.98,0.515079,0.297619,0.356322,0.764738,full,
28,v55,(none),2026-08-20T02:03:01--03:49:19,0.970423,0.717773,0.98,0.515079,0.297619,0.356322,0.761921,full,evaluator output recorded at submission time; not present in the partial log export
29,v57,ad226cf461ef,2026-08-20T03:49:19-04:00,0.970423,0.731858,0.98,0.499206,0.297619,0.356322,0.764852,full,
